Doc_ID,LHI_Score,Total_Summary_Entities,Hallucination_Count,Hallucinated_Entities
112,0.7272727272727273,33,9,Maharashtra State; Malguzari; Sakoli Tahsil; V. Mohar Singh; Wazib Ul Arz; Wazib ul Arz; Irrigation Act; Madhya Pradesh Act 1 of 1951; High Court of Bombay
113,1.0,11,0,
114,0.5,4,2,"October 31,1967 this Court; Moris vs C. W. Martin & Sons, Ltd., [1965] 2 All E.R. 725"
115,1.0,2,0,
116,0.8823529411764706,17,2,"section II(II); A. & W. Nesbitt Ltd. vs Mitchell, [1926] II T.C. 2II"
117,1.0,6,0,
118,1.0,5,0,
119,0.5,2,1,Sec.
120,0.5,2,1,sions of section 20(2)(a)
121,0.5882352941176471,17,7,"Mitakshara school; AIR 1957 Andhra Pradesh 1012; G. Suryakantam vs; Ramanna vs Venkata, ILR 11 Madras 246; Rottala Rungunatham Chetty vs Pulicat Ramasami Chetti, ILR 27 Madras, 162; ILR 6 IA 88; G. Suryanarayanamurthy"
122,0.8333333333333334,6,1,Central Excise
123,0.6923076923076923,26,8,"Balaji Venkatesh; Sthanic; 775 Arunachalam Chetty vs Venkatachalapathi Guru Swamigal, (1919) L.R. 46 I.A. 204; Babu Bhagwan Din vs Gir Nar Saroon, (1939) L.R. 67 I.A. 1; Prematha Nath Mullick vs Pradyumna Kumar Mullick, (1925) L.R. 52 I.A. 245; Ram Soondur Thakoor vs Taruk Chunder Turkoruttum, (1873) 19 Weekly Reporter 28; Srinivasa Chariar vs Evalappa Mudaliar, (1922) L.R. 49 I.A. 237; Venkatachala vs Sambasiva, A.I.R. (1927) Mad. 465"
124,0.7727272727272727,22,5,"Additional Commissioner of Income Tax vs Samarathmal Santoshchand, Madhya Pradesh; Manilal Gafoorbhai Shah vs Commissioner of Income Tax, Gujarat; Mohd. Ahsan Wani vs C.I.T., Jammu & Kashmir; Shakuntala Devi & Ors vs C.I.T, Delhi; Supreme Court"
125,1.0,4,0,
126,0.5384615384615384,26,12,"Code of Civil Procedure; 119 940 Md We Gyan vs Maung Than Byu (A.I.R. 1937 Rang; Abdul Karim vs Islamunnissa Bibi ([1916] I.L.R. 38 All. 339); Bahir Das vs Girish Chandra ([1922] A.I.R. 1923 Cal; Bajagopalier vs Bamanujachariar ([1923] I.L.R. 47 Mad. 288); Basul vs Amina ([1922] I.L.R.; Biru Mohata vs Shyania Charan Khowas ([1895] I.L.R.; J. Marret vs Md. K. Shirazi & Sons (A.I.R. 1930 P. C. 86); Lakshminarayan vs Laduram ([1931] A.I.R. ,; Manmothanoth Ghose vs Lachmi Devi ([1927] I.L.R. 55 Cal.; Nirode Kali Boy vs Harendra Nath (I.L.R. [1938] 1 Cal. 280); Vachali Bohini vs Kombi Aliassan '([1919] I.L.R. 42 Mad. 753)"
127,1.0,5,0,
128,0.8888888888888888,9,1,section 12 (1)
129,0.5,4,2,Boyse vs Rossborough ([1857]; Craig vs Lamoureux and Hall vs Hall ([1868] L.R. I P. & D. 481)
130,0.8333333333333334,6,1,"Erumeli Estate V. Industrial Tribunal, [1962] II L.L.J. 144"
131,0.5714285714285714,7,3,"section 3(i) and (iii); West Bengal (Prevention of Violent Activities) Act, 1970; Naibati"
132,0.6666666666666667,6,2,"Barendra Kumar Ghosh vs Emperor, L.R. 52 I.A. 40; Mahbub Shah vs King Emperor, L.R. 72 I.A. 148"
133,0.8,15,3,Additional District Judge in Madhya Pradesh; Civil Court; Madhya Pradesh High Court
134,0.85,20,3,"Police Act; Raj Kumar; ,[1970] 1 S.C.C. 653"
135,0.6,5,2,"Electricity Supply Act, 1948; [1957] S.C.R. 33"
136,0.6,5,2,Bose; Fulbati Kumari vs Maheswari Prasad (A.I.R. 1923 Pat
137,0.9523809523809523,21,1,"Nitya nanda Guru vs State of Orissa, (A.I.R. 1983 Orissa 54)"
138,0.7142857142857143,21,6,1.2.1966; s 13(3) & 13(4); sec tion (c); sub sec.; Amending Act; Ordinance No. 26 of 75
139,0.4444444444444444,27,15,"Motor Spirit and Lubricants Taxatation Act 1938; 21 January, ]; 11939] F.C.R. 18; C.A. No. 1433; C.A. No. 1871 of 1974; Civil Appeal No. 365 of 1969; Harinarayan Jaswal; State of Orissa; Coverjee B. Bharuchua vs The Excise Commissioner; Madhavan V. Assistant Excise Commissioner; [1972]3 S.C.R. 784; [1975] Vol.; Ajmer; Central Province; Kerala"
140,0.8461538461538461,13,2,"sub tenan; 1st August, 87"
141,1.0,2,0,
142,0.7333333333333334,15,4,"June 9,; May 31 of the next; K. Das; Sliah"
143,1.0,12,0,
144,0.9230769230769231,39,3,"Part C States (Laws) Act, 1950; S.21; Syed Qasim Razvi vs State of Hyderabad ([1952] S.C.R. 710)"
145,0.7391304347826086,23,6,"First Schedule; entry 61(8); Constitution of India; Per Sarkar; Das Gupta; Union of India vs T. R. Varma, [1958] S.C.R. 499"
146,1.0,7,0,
147,0.8333333333333334,6,1,Supreme Court
148,0.7894736842105263,19,4,clause (IV) of section 14; sub division of Clause IV; State of Madhya Pradesh vs Hira Lal; (1966) 17 STC 313 315; Devidas
149,0.9090909090909091,11,1,Entry 46 of the First Schedule
150,1.0,11,0,
151,0.7727272727272727,22,5,"(1932) 34 Bom; Chaturbhuj Mohanlal vs Bhicam Chand Choroyia & Sons; Mathu Kutty vs Varoe Kutty, A.I.R. 1950 Mad; Musammat Basso Kaur vs Lala Dhua Singh, (1888) 15 I.A. 211; Narayan Jivangouda vs Puttabai, (1944) 47 Bom"
152,0.5833333333333333,24,10,"Constitution; Clause (b) of sub section (3) of section 34; Entry 51 of List II of Schedule VII; Supreme Court; Bhajan Lal Saran Singh & Co. vs State of Punjab and others, 1967 Current Law Journal (Punjab and Haryana) 460; Excise & Taxation Commissioner and others, ; State of Punjab vs Balbir Singh and others, AIR 1977 SC 1717; Shyam Lal vs State of Punjab, AIR 1976 SC 2045; State of M.P. vs Firm Goppulal; State of Punjab vs Balbir Singh and others, AIR 1977 SC 1717; State of Punjab vs Mulkh Raj and Co., AIR 1977 SC 1550"
153,0.8,15,3,"Constitution; article 226; Nokes vs Doncaster Amalgamated Collieries, Ltd. [1940] 3 All England Law Reports 549"
154,0.5,6,3,Bihar State; U.P.; Sant Narain Mathur vs Rama Rrishna Mission
155,0.8541666666666666,48,7,"Medical, Dentistal and Ayurvedic Colleges; State Government of Madhya Pradesh; State of Kerala; Article 14, 15(1) or 15(2) or 15 (4); Rule 7. 760; Indian medical council Act 1956; Amalendu Kumar vs State of Bihar, AIR 1980 Patna 1"
156,0.7647058823529411,17,4,"August :25, 1961; January 9, 1951; Article 136; Constitution"
157,0.75,8,2,section 7A and rule 41(3); sub rule (3) of rule 41
158,0.8095238095238095,21,4,Sec.; Sub section (2) of Section 3; Excise Manual; Uttar Pradesh Excise Act 1910
159,1.0,4,0,
160,0.8235294117647058,17,3,"Entry 14; Constitution (Sixth Amendment) Act, 1956; Madhya Bharat Sales Tax Act, Samvat 2007, (Act No. 30 of 1950)"
161,1.0,8,0,
162,0.8571428571428572,7,1,section 32(7) or section
163,0.9166666666666666,36,3,Kapurthala State; Punjab; section 34 893
164,1.0,19,0,
165,0.7692307692307692,13,3,"article 95 of Table A; sections 35(10) and 2(6A)(c); Ahmedabad Manufacturing and Calico Printing Co. Ltd. vs S.G. Mehta, [1963] Supp. 2 S.C.R. 92"
166,0.3571428571428571,14,9,"article 136; section 103; section 510; section 8; Emperor vs Ramanuya Ayangar, A.I.R. 1935 Mad. 528; Public Protector vs India China Lingiah & Ors., A.I.R. 1954 Mad; Ramkrishan Mithaplal Sharma vs State of Bombay, [1955] I S.C.R. 9 '; Sukhan vs Crown, I.L.R. X Lah. 283; Cr"
167,1.0,11,0,
168,0.8888888888888888,9,1,"Gokul Chand vs Firm Hukum Chand Nath Mal, (1921) L.R. 48 I.A. 162"
169,1.0,7,0,
170,0.5652173913043479,23,10,"Amending Act; Government of India Act, 1935; (1952) 3 STC 343 @ 367; (1960) 11 STC 698; K. Rangappa Balica & Co. AIR 1969 SC & 509 ; @ 47 Firm .A.T.B.; Koteswar Vittal Kamath vs; Nilciri Ceylon Tea Supplying Co. vs The State of Bombay (1959) 10 STC 500; Stale of Madras vs Bell Mark Tobacco Co. (1967) 19 STC 129; State of Madras vs Swasthik Tobacco Factory (1966) 17 STC 316; SCR 435"
171,0.5714285714285714,7,3,"C.P.C.; 1047 D] Rex vs Clewes; Palvinder Kaur vs The State of Punjab, , Emperor vs Balmakund, I.L.R. 52 All"
172,0.8461538461538461,13,2,"art, 226; Constitution"
173,0.9375,16,1,Supreme Court
174,0.8947368421052632,19,2,Chapter XXXIV and sections 451 and 452; Cr.
175,N/A,0,0,
176,0.8181818181818181,11,2,Cr; I.P.C.[256
177,0.46153846153846156,13,7,"s.439; sections 154 and 156; ss.420, 120B read with s.420; Constitution; State of West Bengal; Supreme Court; King Emperor vs Khwaja Nazir Ahmad, (1944) L.R. 71 I.A. 203"
178,0.75,4,1,"C. P. S Berar Municipal Act, 1922"
179,0.8461538461538461,13,2,"Mysore State; General Manager, Southern Railway vs Rangachari, ; , 596"
180,1.0,11,0,
181,0.7142857142857143,7,2,"sections 477 A and 408; Ras Behari Lal vs The King Emperor, (1933) L.R. 60 I.A. 354"
182,0.8085106382978724,47,9,C.P.C.; Indian Constitution; Acts 17 and 18 of 1957; O. section 101; O.S. 47/53; section 668; 672F C & 673C; L748SuP CI/74 656; Shri Prithvi Cotton Mills Ltd. vs Broach Borough Municipality and Reid vs Reid at 408
183,0.8222222222222222,45,8,"Civil Appeal No.481 of 1983; Assam State; Amending Act, 1985; 1.1.1966; clause section 7; McInnes vs onslow Farme & Anr., D) p. 219; R. vs Secretary of Stale for the Home Department; Arstotle"
184,0.9,10,1,Per Shah
185,0.6666666666666667,3,1,[181D] 178 4
186,0.75,4,1,Commissioner of Income tax vs Calcutta Stock Exchange Association Ltd.
187,1.0,3,0,
188,0.5555555555555556,18,8,"Aditya V. Birla; State of Madhya Pradesh; Government of India; Governments of India; Thai Rayon Company; Chintaman Rao; Ellis vs Ellis and Co., [19051 1 K.B. 324; [19581 S.C.R. 1340 at 1346"
189,0.6363636363636364,11,4,Bowron vs Bowron ([1925] P. 187); Lang vs Lang ([1965] A.C. 402); Pratt vs Pratt ([1939] A.C. 417); Thomas vs Thomas ([1924] P. 194)
190,0.6666666666666667,15,5,Toleman vs Portbury (L.R. 6 Q.B. 245; Venkatachari vs Rangaswami Aiyar (36 M.L.J. 532; Venkatarama Aiyar vs Ponnuswamy Padayachi (A.I.R. 1935 Mad. 918; Davey; Roberts
191,0.75,8,2,"Commissioner of Income tax, Bengal vs Shaw Wallace & Co. (1932) 59 I.A. 206; King vs B.C., Fir and Cedar Lumber Co. and Commissioners Of Inland Revenue vs Wi WiIliams"
192,0.9,20,2,[239 C D] 237 (b); Gujar Mal Modi vs Commissioner of Income Tax
193,0.46153846153846156,13,7,"section 120B and section 109; IPC; Charan Singh vs State of U.P., AIR 1967 SC 529; Govinda Reddy vs State of Mysore, AIR 1960 SC 29; Hanumant Govind Nergundkar vs State of M.P., [1952] SCR 1091, AIR 1952 SC 343; K. Kale vs State of Maharashtra; Palvinder Kaur vs State of Punjab"
194,0.6363636363636364,11,4,Section 194C(1).The appellant; sub section (1) of Section 194C; High Court of Patna; Haryana
195,0.8,5,1,"Ram Lal vs Ghanasham Das, A.I.R. (1923) Lah"
196,0.9375,16,1,PG NO 296 PG NO 297
197,0.9444444444444444,18,1,Mines Act
198,0.8148148148148149,27,5,S.C.R. 439; S.C.R. 945; section 3D(4)(ii); Sales Tax Act; Delhi
199,0.6666666666666667,15,5,section 75(1); sections 33 and 80; Negotiable Instruments Act (26 of 1881); Supreme Court; (1930) L.R. 57 I.A. 86
200,0.4444444444444444,9,5,"Kurnool vs Commercial Tax Officer, Kurnool [1960] 11 S.T.C. 827; State of Tamil Nadu v Pyare Lal Malhotra [1976] 37 S.T.C. 319 and 325; Tungabhadra Industries Ltd.,; State of Madhya Bharat; State of Madhya Pradesh"
201,0.8095238095238095,21,4,Contempt of Court Act (Act No. 70 of 1971; Contempt of Court Act 1971; MISA; MISA 1971
202,0.6557377049180328,61,21,"Jodhpur; Guruswamy & Co.; Hingir Rampur Coal Co., Ltd.; Sainik Motors; proviso (iii) to sub section (1) (a) of section 4; Act 22 of 1973; Central Excise Tariff; A.K. Roy; ,[1967] 1 S.C.R. 548; ,[1968] 3 S.C.R.; ,[1975] 3 S.C.R. 563; Atic Industries Ltd. vs H.H. Dave, Asst Collector of Central Excise and Ors; Atma Ram Budhia vs State of Bihar, A.I.R. 1952 Patna 359; Balaji vs Income Tax Officer, Special Investigation Circle; Navnitlal C. Javeri vs K.K.Sen; R.C. Jall vs Union of India, [1962] Suppl; Ralla Ram vs The Province of East Punjab, [1948] F.C.R. 207; Council L.R. 59 I.A. 258; S.C.R. 436; State of Orissa; State of Rajasthan"
203,0.75,24,6,"Government Undertakings (Acquisition) Rules, 1954; section 25F read with section 25FF; Central Bank of India vs; R.L. Khandelwal, , Punjab National Bank Ltd. vs; [1962] Supp.; P.S. Rajagopalan"
