Doc_ID,LHI_Score,Total_Summary_Entities,Hallucination_Count,Hallucinated_Entities
54,0.2666666666666667,15,11,"section 20(6); Lettera Challan Labour; Hari Kishan vs Administrator, Municipal Committee, Ludhiana; Illuri Subbayya Chetty & Sons vs The State of Andhra Pradesh; K. section Venkataraman & Co. vs State of Madras; Kala Bhandar vs Municipal 260 261 Committee; Kamala Mills Ltd. vs State of Bombay; Pyx Granite Co. Ltd. vs Ministry of Housing and Local Government , Raleigh Investment Co. Ltd. vs Governor General in Council, 74 I.A, 50, Firm and; Secretary of State vs Mask & Co. 67 I.A. 222; Wolverhampton New Water Works Co. vs Hawkesford; Firm Radha Kishan"
55,0.6923076923076923,26,8,"Purnish Chandra; State of Jammu and Kashmir; 19.7.1969; January 11, 1968; January 5, 1968; section 12 A; section 238 and 239; State of Jammu and Kashmir vs 854 Haji Wali Mohammad & Ors"
56,0.6551724137931034,29,10,"August II, 1956; O. 11, r. 19(2); O. 14, r. 4, and O. 11, r. 14; sections 123 and 167; Constitution of India; Held; Per Kapur; Per Sinha; Per Subba Rao; Wanchoo"
57,0.7142857142857143,7,2,"Central Excise and Salt Act, 1944; Ujagar Prints and Others vs Union of India and Others"
58,0.5066666666666666,75,37,"Article 123(2); Article 21, Article 367(2); Article 357(1)(a); Article 367(2); Article 368(1); Articles 123 (2) and 367 (2); clauses (I) and (3)(b) of Article 22; section 3 read with section 1(2); section 3(1); sub clause (4) of Article 22; Constitution (Fortyfourth Amendment) Act 1978; Fortyfourth Amendment Act; Government of India; Desai; Tulzapurkar; A.K. Gopalan vs State; Chand vs Union of India , 1096; Dattatreya Moreshwar Pangarkar vs State of Bombay, ; , 626; Govind vs State of Madhya Pradesh & Anr. ; , 955 56; Maneka Gandhi, [1978]2 SCR 621; Nagendra Nath Bora vs Commissioner of Hills Division and Appeals, Assam; Now Prakash Transport Co. Ltd. vs New Suwarna Transport Co. Ltd., , 106; Pandit M.S.M. Sharma vs Shri Sri Krisna Sinha & Anr; Pet vs Greyhound Racing Association Ltd.; Puranlal Lakhanpal vs Union of India, , 475; R. C. Cooper vs Union of India, ; , 559; R.C. Cooper vs Union of India, [I 9701 3 SCR 530, 559; Ratilal Bhanjl Mithani vs Asstt; Sambhu Nath Sarkar, [1974] 1 SCR I; Sampat Prakash vs State of Jammu & Kashmir; State of Jammu & Kashmir vs Bakshi Ghulam Mohammad; State of Nagaland vs Ratan Singh ; , 851, 852; Union of India vs T.R. Verma, [1958] SCR 499, 507 and Kherr; [1959] Supp.; Sant Ram; I SCR 806, 860 861; [312 C E] 275"
59,0.6,10,4,"H. N. Rishbud and Inder Singh vs The State of Delhi; King Emperor vs Nilkantha, I.L.R.; Pulin Bihari Ghosh vs The King, I.L.R.; Textile Traders Syndicate Ltd. vs The State of U. P., A.I.R. 1959 All. 337"
60,0.5555555555555556,9,4,"S.L. Hegde; Displaced Persons Compensation and Rehabilitation Rules, 1955; Hiralal Kher vs The Chief Settlement Commissioner New Delhi; M.B. Tirumale [1960] (1) SCR 890"
61,0.33333333333333337,12,8,"Basant Singh vs Kunwar Brij Rai Saran Singh, 62 I.A. 180; Ghulam Mohammad vs Ball, A.I.R. (18) 1931 Lab. 641; Mahant Salig Ram vs Musammat maya Devi; Mt. Fatima vs Sharaf Din, A.I.R. (33) 1946 Lab. 426; Muhammad Khalil vs Mohammad Baksh; Qamar ud din vs Mt. Fateh Bano, Lab. 110; Vaishnoo Ditt vs Rameshri, (1928) L.R. 55 I.A, 407; Zakar Hussain vs Ghulam Faima, A.I.R. (14) 1927 Lab. 261"
62,0.6595744680851063,47,16,"Article 14 and Article 15(3); United Provinces Act, 1916; 1.01; 1.03; 1.04; 1.06; 1.07; 1.08; 1.09; 714 716 of 1993; C.& No. 717 of 1993; C.A. Nos.; Prem Kumar Balmiki vs State of U.P. (W.P. No. 1067 of 1991; Prem Kumar Balmiki vs State of U.P. Writ Petition No. 1067 of 1991; Rama Mishra vs State of U.P. (Writ Petition No. 11114 of 1990; Rama Mishra vs State of U.P. Writ Petition No. 11 114 of 1990"
63,0.3928571428571429,28,17,"Ganpat Ram Sharma; Jamunadas C. Tuliani; Jaywant section Kulkarni & Ors.; Section 12(2); clause (a) of sub sec tion (3) of section 12; Arjun Khiamal Mak hijani; Gayatri Devi, [1987] 3 SCC P. 576; Prabhudas Sivlal; B.P. Khemda Pvt. Ltd. vs Birendra Kumar Bhowmick & Anr., [1987] 2 S.C.R.P. 559; Ganpat Ladha vs Sashikant Vishnu Shinde, [1978] 2 S.C.C.P. 573; Hem Prabha Ganguli & Ors., [1989] 3 S.C.C.P. 145; Latham vs R. Johnson & Newhew Ltd., (408); Latham vs R. Johnson and Nephew Ltd., (408); Nagindas Ramdas vs Dalpatram Ichharam, [1974] 1 S.C.C.P. 242; Praduman Kumar vs Virendra Goyal (Dead) by L.Rs., [1969] 3 S.C.R.P. 950; S.D. Chagan Lal vs Dalichand Virchand Shroff & Ors., [1968] 3 S.C.R.P. 346; Vatan Mal vs Kailash Nath, [1989] 3 S.C.C.P. 79"
64,0.5714285714285714,63,27,"List II; art 31(2); article 19(1)(f) and article 31; article 19(1)(f) taken with 19(5); article 19(1)(f)has been; article 19(1)(f)in the; article 31(1) and (2); entry 589 No. 33 of List I; entry No. 42 of List III; section '4 the new section 37; sub clause (b) of cl.; Supreme Court; Ministry of State; West Bengal Legislative ASsembly; JAGANNADHADAS; PATANJALl SASTRI; Bihar Zamindari; Chiranjit Lals; A.K. Gopalan vs The State of Madras ([1950] S.C.R. 88; Chiranjit Lal Chauduri vs The Union of India and Others ([1950] S.C.R. 869; Ioseph Hurtado V. People of California (1883) (10 U.S. 516); Noble State Bank vs Haskeli ; , Eubank vs Richmond (226 U.S. 137); P.D. Shamdasani vs Central Bank of India ([1952] S.C.R. 391); Punjab Province vs Daulat Singh and Others ([1946] F.C.R. 1); Ram Singh vs The State of Madras ([1951] S.C.R. 451); State of Bihar vs Maharajadhiraja Kameshwar Singh of Darbhanga ([1952] S.C.R. 889); State of Madras vs V.G. Row ([1952] S.C.R. 597)"
65,0.18181818181818177,22,18,"s 175 (3); Chatturbhui Vithaldas Jasani vs Moreshwar Prashram; Devi Prasad Sri Krishna Prasad Ltd. vs Secretary of State, I. L. R. (1941) All. 741; Government vs Lal Nanhoo Mal Gupta; I. L. R. section C. Mitra and Co., vs Governor General of India in Council,; J. K. Gas Plant Mfg., Co. (Rampur) Ltd. vs King Emperor, ,; K. Sen vs Provincial P. W. D., State of Bihar; Kessoram Poddar and Co., vs Secretary of State for India; Liverpool Borough Bank vs Turner; Moreshwar Pangarkar vs State of Bombay; Municipal Corporation of Bombay vs Secretary of State, I. L. R.; R. (1960) All. 420; R. (1960) Pat.,; Secretary of State vs G.T. Sarin and Co.; Secretary of State vs Yadavgir Dharamgir; State of Bihar vs M/s. Karam Chand Thapar and Bros., Ltd.; State of Bombay vs Purshottam Jog Naik; State of U.P. vs Manbodhan Lal Srivastava, (1958) section C. R. 533"
66,0.5,6,3,section 13(2); section 43 (A); Ordinance No. 1 of 1970
67,0.6153846153846154,13,5,"19681 I SCR 237; D.S. Nakara vs Union of lndia, [1983] I SCC 365; Dr .Sushma Sharma vs State of Rajasthan, [1985] Supp; S.N.A. Samiti, Varanasi vs State of U.P.,[1987]2 SCR 453; Union of India vs M/s. P. Match Works [1975]2 SCR 573 Jagdish pandey vs The chancellor, University of Bihar"
68,0.5,2,1,"Vide Vaghoji vs Camaji, I.I. R. 117O"
69,0.5263157894736843,19,9,"31(3); Section 31(3); section 10 (2); section 31(3); section 9 (2); Uttar Pradesh Act 20 of 1976; Uttar Pradesh Imposition of Ceiling on Land (Amendment) Act, 1976 (Act 20 of 1976); Uttar Pradesh Imposition of Ceiling on Land Holdings Act, 1960; Shantnu Kumar vs State of Uttar Pradesh & Ors, 1977 Allahabad Law Reports p. 564"
70,0.6,10,4,"Per Sharma; Supreme Court; 868 Administration of Justice Act, 1960; Pushpadevi M. Jatia vs M.L. Wadhavan"
71,0.7857142857142857,14,3,"Delhi Janata Co operative Transport Policy Limited; British India General Insurance Co. vs Captain Itbar Singh, AIR 1959 Supreme Court 1331; Pushpabai Purshottam Udeshi vs Ranjit Ginning and Pressing Co."
72,0.75,12,3,s.3(2); U.P. (Temporary) Control of Rent and Eviction Act; Additional District Magistrate
73,0.7272727272727273,33,9,section 302 read with section 34; sections 302 and 34; Cr; I.P.C.; Maneka Gandhi [1978] 2 S.C.R. 621; T.V. Vatheeswaran vs State of Tamil Nadu; [1944] F.C.R. Vol.6 61; Ediga Anamma; Hoskot
74,0.875,16,2,"June 15, 1q953,; State of Punjab vs Joginder Singh, [1963 (Supp. 2) SCR 169]"
75,0.5,24,12,"Supreme Court; G. H. C. Ariff vs Jadunath Mazumdar Bahadur, A.I.R.; Meritime Electric Co. Ltd. vs Genral Dairies Ltd., A.I.R. 1937 PC 114; Raja Sri Sailendra Narayan Bhanja Rao vs State of orissa; Seth Badri Prasad and ors v Seth Nagarmal and ors; State of U.P and Anr v Anand Swarup; T. A A Appanda Mudaliar vs State of Madras; Yaswant Deorao Deshmukh vs; Walchand Ramchand Kothari; S.C.R. 769 @ 773; Rules 82 to 103; Sec. 66"
76,0.6818181818181819,22,7,Calcutta and Patna High Courts; C.P.C.; Constitution of India; Contempt of Courts Act; 18 7 73; OCM 7/73; Offutt vs U.S.p.11
77,0.6,10,4,East Punjab Evacuees ' (Administration of Property) Act; East Punjab Evacuees ' (Administration of Property) Act of 1947; Evacuee Property Law; con 1114
78,0.4444444444444444,18,10,"Brahmin; S; L; R; 1956 Act; Mitakshara law; Supreme Court; section 12 V. 1, 2 and 3; Akku Prahlad vs Ganesh Prahlad I.L.R.; Kameshwaramma vs Subramanyam A.I.R. 1959 Andhra Pradesh 269"
79,0.19999999999999996,10,8,"section 31 of the , and rr. 58 and 59; Calcutta Gas Company (Proprietary) Ltd. vs The State of West Bengal and Others [1962] Supp; Chiranjit Lal Chowdhuri, vs The , Union of India; Ebrahim Aboobakar and Another vs Custodian General of Evacuee Property; Godde Venkateswara Rao vs Government of Andhra Pradesh and Others; R. vs Thamples Magistrates ' Court; State of Orissa vs Madan Gopal Rungta, [1952] S.C.R. 28; Greenbaum"
80,0.5263157894736843,19,9,"clause (c) of sub section (2) of section 100; sub section (1) (c) of section 100; sub section (2) (c) of section 100; Supreme,Court; India; Bharat Bank Ltd., vs Employees of the Bharat Bank Ltd. ([1950] S.C.R. 459; Ponnuswami vs Returning Officer, Namakkal Constituency and Others; Stowe vs Jolliffe; Theberge vs Laudry ( [1876 771 2 A.C. 102)"
81,0.4,15,9,"Bombay District Municipal Act 1901; State of Bombay; r. 1 (ii); section 46; sections 4 and 7; sections 4 or 7; sections 59 to 63; Lokmanya Mills vs Barsi Borough Municipality.v,; Patel Goverdhandas Hargovindas vs Municipal Commissioner, Ahmedabad"
82,0.5,24,12,"Ant; Shantilal Rampuria; T.A. Jotindranath Mudaliar; Tara Chand; Karnataka Rent Act; Dhanapal Chettiar vs Yesodai Ammal; Gian Devi Anand vs Jeerart Kumar and Ors., [1985] Supp. 1 SCR 1; L. Mahabir Prasad Verma vs Dr. Surinder Kaur; M/s. Bajaj Auto Ltd. vs Behari Lal Kohli; Shalimar Tar Products Ltd. vs H.C. Sharma and Ors; Ram Prasad; Vega Trading Corpn"
83,1.0,11,0,
84,0.7272727272727273,22,6,"Gurbachan Singh; Section 215; section 147 or section 148 and section 324 read with section 149; section 148 and sections 302 and 324, read with section 149; AIR 1957 SC 623; State of Maharashtra vs Ramdas Shrinivas & Anr"
85,0.3571428571428571,28,18,"Chingleput District; Chingleput Traders; Gujarat State Financial Corpn; rr. 5(a) and 5(e); rr. 5(a), 5(c) and 5(e); Breen vs Amalgamated, Engineering Union; K. Ramaswamy vs Government of Tamil Nadu (Writ Appeal No. 368 of 1981; K.N. Guruswamy vs Stare of Mysore,[1955] 1 S.C.R. 305; Kishan Chand Arora vs Commissioner of Police; M/s Hochtief Gammon vs State of Orissa, [1976] 1 S.C.R. 667; Mac Innes vs Onslow Fane & Anr; Nakkuda Ali vs M.F. De section Jayaratne; P. Bhooma Reddy vs State of Mysore; Padfield vs Minister of Agriculture, Fisheries and Food; R. Surinder Singh Kanda vs Government of the Federation of Malaya, L R.; R. vs Gaming Board for Great Britain; State of Tamil Nadu vs C. Vadiappan, [1982] 2 Mad; Lotus Hotels Pvt. Ltd."
86,0.8333333333333334,6,1,Industrial Disputes Act
87,0.5,14,7,"section 31; sections 31, 32, 33; Arbitration, Act, :; Bajranglal Laduram vs Agarwal Brothers, A.I.R. 1950 Cal; Hayman vs Darwins; M. Gulamali Abdulhussain & Co. vs Messrs. Vishwambharlal Buiya, I.L.R.; State of Bombay vs Adamjeee Hajee Dawood & Co. Ltd. I.L.R. (1 952)"
88,0.375,16,10,"Reserve Bank of Pakistani; Badri Das Dada vs C.I.T.; Bombay City vs Tata Locomotive & Engineering Co. Ltd.; Commissioner of Income Tax vs Tata Locomotive Engineering Co.; Davis vs Shell & Co. of Chine Ltd.; Golden Horse Shoe (new) Ltd. vs Thurgood; Imperial Tobacco Co. vs Kelly; Landes Bros. vs Simpson; Mysore vs Canara Bank Ltd.; Income Tax Act, 1922"
89,0.6470588235294117,17,6,Article 311(2); Chapter Ill; Clause (a) of the second proviso to Article 31 l (2); clause(a) of the second proviso to Article 311(2); section 4; Indian Penal Code
90,0.8108108108108107,37,7,clause (i) of sub rule (I B); clause (i) of sub rule (I B) of rule 126 H; sec tion 8(1); section 71 (1); sub rule (I A) of Rule 126 H; sub section (1) of sec tion 71; 1119 Gold Control Act
91,0.6923076923076923,13,4,"Section 21, 23 and 29; Section 482; Sections 437(5) or 439(2); Code of Civil Procedure"
92,0.6037735849056604,53,21,"Andhra Pradesh Abolition of Posts of Part time Village Officers ordinance 1984; Andhra pradesh 510 (Andhra Area) Village Offices Service Rules, 1969; Constitutional; Madras Hereditary Village Offices Act, 1895; Ordinance No. 7 of 1984, 13 of 1984, 18 of 1984 and 21 of 1984; Article 139 A.; clause 3; clause 4; clause 5; B.R. Shankaranarayana & Ors.; Gazula Dasaratha Rama Rao vs The State of Andhra Pradesh & Ors; Lakhi Narayan Das vs The Province of Bihar, []949) F.C.R. Vol.; State of Mysore & Ors, (A.I.R. ,; State of Orissa vs Bhupendra Kumar Bose, [1962] 2 Supp. 380; State of Tamil Nadu & Ors., 11982] 3 S.C.R. 628; Steavenson vs Oliver 151 English Reports 1024; B.R. Sharkaranarayana; R.R. Garg; State of Tamil Nadu 511; 19821 I S.C.R. 947; A.l.R. 1966 S.C.C. 1571"
93,1.0,3,0,
94,0.6,5,2,"Section 19(1), and (2); Supreme Court.[600B.C"
95,0.6153846153846154,13,5,"Ferro Alloys Corporation; FERA; Income tax Act, 1961; S 280ZC; Section 14 280ZC"
96,0.33333333333333337,3,2,Sarwan Singh vs The State of Punjab; Saywan Singh vs The State of Punjab
97,0.35,20,13,"Tea Act; Tea Act of 1953; Per Ayyangar; B.K. Wadear vs M/s. Daulatram Rameshwarlal; East India Tobacco Co. vs The State of Andhra Pradesh, [1963]1 S.C.R. 404; M. R. K. Abdul Salem and Company vs Government of Madras, 13 S.T.C. 629; State of Madras vs Gurviah Naidu and Co. Ltd. A.I.R. 1956 S.C. 158; State of Madras vs Gurviah Naidu and Company Ltd. A.I.R. 1956 S.C. 158; State of Mysore vs Mysore Shipping and Manufacturing Co. Ltd. 13 S.T.C. 529; State of Mysore vs Mysore Spinning and Manufacturing Co. Ltd. A.I.R. 1958 S.C. 1002; State of Travancore Cochin V.Shanmugha Vilas Cashew Nut Factory; State of Travancore Cochin vs Bombay Company Ltd.; State of Travancore Cochin vs Shanmugha Vilas Cashew"
98,0.8888888888888888,18,2,"clauses 19 and 21; Industrial Employment (Standing Orders) Act, 1948"
99,0.5,16,8,"Happy Homes & Hotels Pvt. Ltd.; Happy Homes and Hotels Pvt. Ltd.; section 353; section 353 (2); sub section; Calcutta Municipal Corpora tion Act, 1980; Som Nath Chatterjee; Attorney General vs Corporation of Sunderland LR"
