Doc_ID,LHI_Score,Total_Entities,Hallucinations,Entity_List
63,0.9285714285714286,28,2,Ganpat Ram Sharma; Prabhudas Sivlal
64,0.9682539682539683,63,2,entry 589 No. 33 of List I; Ministry of State
65,1.0,22,0,
66,1.0,6,0,
67,0.9230769230769231,13,1,19681 I SCR 237
68,1.0,2,0,
69,1.0,19,0,
70,0.8,10,2,Per Sharma; Supreme Court
71,1.0,14,0,
72,1.0,12,0,
73,0.9090909090909091,33,3,Cr; I.P.C.; [1944] F.C.R. Vol.6 61
74,0.9375,16,1,"June 15, 1q953,"
75,0.875,24,3,Supreme Court; Walchand Ramchand Kothari; S.C.R. 769 @ 773
76,0.8181818181818181,22,4,C.P.C.; 18 7 73; OCM 7/73; Offutt vs U.S.p.11
77,0.9,10,1,con 1114
78,0.6666666666666667,18,6,Brahmin; S; L; R; 1956 Act; Supreme Court
79,0.9,10,1,Greenbaum
80,0.8947368421052632,19,2,India; Theberge vs Laudry ( [1876 771 2 A.C. 102)
81,0.9333333333333333,15,1,sections 59 to 63
82,0.8333333333333334,24,4,Ant; Shantilal Rampuria; Tara Chand; Ram Prasad
83,1.0,11,0,
84,0.9545454545454546,22,1,Gurbachan Singh
85,1.0,28,0,
86,0.8333333333333334,6,1,Industrial Disputes Act
87,1.0,14,0,
88,0.9375,16,1,"Income Tax Act, 1922"
89,1.0,17,0,
90,1.0,37,0,
91,0.9230769230769231,13,1,Code of Civil Procedure
92,0.9811320754716981,53,1,"Ordinance No. 7 of 1984, 13 of 1984, 18 of 1984 and 21 of 1984"
93,1.0,3,0,
94,0.8,5,1,Supreme Court.[600B.C
95,0.9230769230769231,13,1,FERA
96,1.0,3,0,
97,0.95,20,1,Per Ayyangar
98,1.0,18,0,
99,1.0,16,0,
100,1.0,6,0,
101,1.0,15,0,
102,0.9,10,1,North Eastern Region
103,1.0,4,0,
104,0.9166666666666666,12,1,"Mayne,11th Edition 364"
105,0.962962962962963,27,1,Section 73A
106,1.0,7,0,
107,0.9444444444444444,18,1,S.C.R. 133
108,0.33333333333333337,3,2,Order XL; Supreme Court
109,1.0,5,0,
110,0.9047619047619048,21,2,409 Held; Per Subba Rao
111,1.0,5,0,
112,0.8484848484848485,33,5,Maharashtra State; Malguzari; V. Mohar Singh; Wazib Ul Arz; Wazib ul Arz
113,1.0,11,0,
114,1.0,4,0,
115,1.0,2,0,
116,1.0,17,0,
117,1.0,6,0,
118,1.0,5,0,
119,0.5,2,1,Sec.
120,1.0,2,0,
121,0.9411764705882353,17,1,G. Suryanarayanamurthy
122,0.8333333333333334,6,1,Central Excise
123,1.0,26,0,
124,0.9545454545454546,22,1,Supreme Court
125,1.0,4,0,
126,1.0,26,0,
127,1.0,5,0,
128,0.8888888888888888,9,1,section 12 (1)
129,0.75,4,1,Boyse vs Rossborough ([1857]
130,1.0,6,0,
131,0.7142857142857143,7,2,section 3(i) and (iii); Naibati
132,1.0,6,0,
133,0.9333333333333333,15,1,Civil Court
134,0.9,20,2,Police Act; Raj Kumar
135,0.8,5,1,[1957] S.C.R. 33
136,0.8,5,1,Bose
137,1.0,21,0,
138,0.9523809523809523,21,1,1.2.1966
139,0.6666666666666667,27,9,"21 January, ]; 11939] F.C.R. 18; Civil Appeal No. 365 of 1969; Harinarayan Jaswal; [1972]3 S.C.R. 784; [1975] Vol.; Ajmer; Central Province; Kerala"
140,0.9230769230769231,13,1,sub tenan
141,1.0,2,0,
142,0.8666666666666667,15,2,K. Das; Sliah
143,1.0,12,0,
144,0.9743589743589743,39,1,S.21
145,0.9130434782608696,23,2,Per Sarkar; Das Gupta
146,1.0,7,0,
147,0.8333333333333334,6,1,Supreme Court
148,0.9473684210526316,19,1,Devidas
149,0.9090909090909091,11,1,Entry 46 of the First Schedule
150,1.0,11,0,
151,0.9545454545454546,22,1,(1932) 34 Bom
152,0.9166666666666666,24,2,"Supreme Court; Shyam Lal vs State of Punjab, AIR 1976 SC 2045"
153,0.8666666666666667,15,2,Constitution; article 226
154,0.6666666666666667,6,2,U.P.; Sant Narain Mathur vs Rama Rrishna Mission
155,0.9375,48,3,"Medical, Dentistal and Ayurvedic Colleges; State of Kerala; Rule 7. 760"
156,0.8823529411764706,17,2,Article 136; Constitution
157,1.0,8,0,
158,1.0,21,0,
159,1.0,4,0,
160,0.9411764705882353,17,1,"Constitution (Sixth Amendment) Act, 1956"
161,1.0,8,0,
162,1.0,7,0,
163,0.9444444444444444,36,2,Punjab; section 34 893
164,1.0,19,0,
165,1.0,13,0,
166,0.7142857142857143,14,4,article 136; section 103; section 510; Cr
167,1.0,11,0,
168,1.0,9,0,
169,1.0,7,0,
170,0.9130434782608696,23,2,(1952) 3 STC 343 @ 367; (1960) 11 STC 698
171,1.0,7,0,
172,0.9230769230769231,13,1,Constitution
173,0.9375,16,1,Supreme Court
174,0.9473684210526316,19,1,Cr.
175,N/A,0,0,
176,0.9090909090909091,11,1,Cr
177,0.7692307692307692,13,3,sections 154 and 156; Constitution; Supreme Court
178,1.0,4,0,
179,0.9230769230769231,13,1,"General Manager, Southern Railway vs Rangachari, ; , 596"
180,1.0,11,0,
181,1.0,7,0,
182,0.9574468085106383,47,2,C.P.C.; 672F C & 673C
183,0.9333333333333333,45,3,Civil Appeal No.481 of 1983; 1.1.1966; Arstotle
184,0.9,10,1,Per Shah
185,0.6666666666666667,3,1,[181D] 178 4
186,1.0,4,0,
187,1.0,3,0,
188,0.7777777777777778,18,4,Aditya V. Birla; State of Madhya Pradesh; Chintaman Rao; [19581 S.C.R. 1340 at 1346
189,1.0,11,0,
190,0.8666666666666667,15,2,Davey; Roberts
191,1.0,8,0,
192,0.95,20,1,[239 C D] 237 (b)
193,1.0,13,0,
194,0.9090909090909091,11,1,Haryana
195,1.0,5,0,
196,0.9375,16,1,PG NO 296 PG NO 297
197,1.0,18,0,
198,0.8888888888888888,27,3,S.C.R. 439; S.C.R. 945; Delhi
199,0.8,15,3,Negotiable Instruments Act (26 of 1881); Supreme Court; (1930) L.R. 57 I.A. 86
200,0.6666666666666667,9,3,"Tungabhadra Industries Ltd.,; State of Madhya Bharat; State of Madhya Pradesh"
201,0.8095238095238095,21,4,Contempt of Court Act (Act No. 70 of 1971; Contempt of Court Act 1971; MISA; MISA 1971
202,0.8852459016393442,61,7,"Jodhpur; Sainik Motors; A.K. Roy; ,[1967] 1 S.C.R. 548; ,[1968] 3 S.C.R.; ,[1975] 3 S.C.R. 563; State of Rajasthan"
203,0.9583333333333334,24,1,P.S. Rajagopalan
204,0.9634146341463414,82,3,Prag Ice & Oil Mills; State of Karnata ka; A.K. Kraipak
205,0.9523809523809523,21,1,S.C.R.
206,1.0,22,0,
207,0.6666666666666667,6,2,Arundhati Balkrishna; Gujarat
208,1.0,6,0,
209,1.0,8,0,
210,1.0,2,0,
211,0.5,2,1,section 10A
212,0.8333333333333334,6,1,Act 35 of 1969
213,1.0,13,0,
214,0.9512195121951219,41,2,Sarvashri Subrahmanyam; sections 17 to 20
215,0.8333333333333334,6,1,Bhagwan Swaroop vs Mool Chand and Hans Raj vs Sunder Lal Aggarwal (1982) 1 sec
216,0.25,4,3,Supreme Court; Rule 1 of Order XLVII; section 5
217,0.8125,16,3,I; Lachhi Ram; Jamuna Prasad Mukhariya
218,0.9375,16,1,Cr. P. C.
219,0.8947368421052632,19,2,C.P.C.; Supreme Court
220,0.972972972972973,37,1,1601 1609 and 2402
221,1.0,3,0,
222,1.0,9,0,
223,0.9285714285714286,14,1,Schedule I
224,0.96,50,2,Rationing; English Common Law 173
225,0.9230769230769231,13,1,conditions (1) and (ii)
226,1.0,13,0,
227,1.0,25,0,
228,1.0,15,0,
229,0.0,3,3,U.D.C.; article 226; Constitution
230,1.0,15,0,
231,1.0,15,0,
232,0.9333333333333333,15,1,Ram Krishna
233,N/A,0,0,
234,0.9411764705882353,17,1,Clause 12
235,0.9772727272727273,44,1,Ram Naresh Lal [1970] 3 S.C.R. 173
236,1.0,7,0,
237,1.0,37,0,
238,0.8571428571428572,7,1,sub letting
239,1.0,15,0,
240,1.0,1,0,
241,1.0,20,0,
242,1.0,9,0,
243,1.0,8,0,
244,0.9166666666666666,24,2,Uttar Pradesh; DAS
245,1.0,5,0,
246,1.0,4,0,
247,1.0,5,0,
248,0.9833333333333333,60,1,Dote
249,0.9375,16,1,1.01
250,0.9655172413793104,29,1,Udgir
251,1.0,16,0,
252,0.9375,16,1,Shyam Lalv
253,1.0,5,0,
254,0.96875,32,1,1961(63) Punjab Law Reporter p. 75
255,0.8571428571428572,14,2,I.P.C.; Supreme Court(Enlargement of Criminal Appellate Jurisdiction) Act (Act 28) 1970
256,0.8235294117647058,17,3,1.01; 1.02; 1.03
257,1.0,4,0,
258,1.0,6,0,
259,0.75,8,2,A; P
260,0.8,25,5,"Laskar Co; U.P.; December 21, 1955; June 1, 780; Supreme Court"
261,1.0,5,0,
262,0.84375,32,5,State of Gujarat; 10.8.75; 2.2.77; 22.5.80; 5.7.75
263,1.0,13,0,
264,1.0,6,0,
265,0.6666666666666667,18,6,1.4.1961; 1.7.73; 1.7.74; 30.6.74; 30.6.75; Section 2 (17)
266,1.0,10,0,
267,0.8,5,1,Supreme Court
268,1.0,10,0,
269,0.9090909090909091,11,1,E Gretfell vs IR.C. [1876)
270,1.0,25,0,
271,1.0,9,0,
272,0.975,40,1,"items 1, 2. 3 and 7"
273,0.9444444444444444,18,1,[1962] 3 Supp
274,0.9655172413793104,29,1,Imco Triplex Junior
275,0.9423076923076923,52,3,C.P.C.; CPC; General Clauses Act
276,0.5714285714285714,7,3,11.5.87; Per Sawant; Per Sharma
277,1.0,5,0,
278,0.8571428571428572,21,3,748 article 31; section C. R. 8; Supreme Court
279,0.926829268292683,41,3,section [780 F H] (iii); Kundan Lal; A.I.R. 1945 P.C. 64
280,0.8,5,1,I.P.C.
281,N/A,0,0,
282,0.9111111111111111,45,4,Cabinet Secretariat; S.C.R 634; Osmania Sikka; Supreme Court
283,0.9166666666666666,12,1,Supreme Court
284,0.6666666666666667,6,2,G; S
285,0.9285714285714286,14,1,I.P.C
286,1.0,12,0,
287,1.0,6,0,
288,0.9166666666666666,36,3,"Section 13(1A); Supreme Court; L.R. p. 892, 903 904"
289,1.0,23,0,
290,0.88,25,3,Constitution; 19 '51; I.T.O.
291,0.6666666666666667,6,2,Supreme Court; Representation of the People Act
292,0.9230769230769231,13,1,Government of a State
293,1.0,16,0,
294,1.0,15,0,
295,0.9130434782608696,23,2,Tikhra; C.
296,0.9444444444444444,18,1,r. 3
297,1.0,6,0,
298,0.9523809523809523,21,1,Bihar
299,0.9024390243902439,41,4,1987 Mah; L.J 243; D. Ojha; Neemach
300,0.9375,16,1,Supreme Court
301,0.33333333333333337,3,2,Indian Arbitration Act; Heyman vs Darwins Ltd. ([1942.] A.C. 356)
302,1.0,16,0,
303,0.926829268292683,41,3,197G H] Ridge vs Baldwin; [1966] (Supp.) SCC 617; State Of Haryana
304,1.0,14,0,
305,0.9285714285714286,14,1,United State
306,1.0,14,0,
307,0.96,25,1,K
308,1.0,13,0,
309,1.0,14,0,
310,1.0,17,0,
311,1.0,8,0,
312,0.8888888888888888,9,1,Central Sales Tax 447 Act
313,0.8947368421052632,19,2,Cr.; I.P.C.
314,1.0,19,0,
315,0.8333333333333334,12,2,Import Export clauses; United States vs Trans Missouri Freight Association at 318]
316,1.0,25,0,
317,0.8181818181818181,11,2,Archakas; Kudivarani
318,1.0,11,0,
319,1.0,4,0,
320,1.0,19,0,
321,1.0,32,0,
322,0.9436619718309859,71,4,Natara jan; R.S. Pathak; Mukharji; Ranganathan
323,1.0,9,0,
324,0.8888888888888888,9,1,Supreme Court
325,1.0,2,0,
326,1.0,27,0,
327,1.0,10,0,
328,0.7142857142857143,7,2,India; New Delhi
329,0.8571428571428572,7,1,Supreme Court
330,1.0,16,0,
331,0.9230769230769231,13,1,Loss Equalisation and Capital Redemption Reserve Fund
332,0.9523809523809523,21,1,Das
333,0.85,20,3,Appeal (No. 1894 of 1990; C.A. No. 1894 of 1990; Civil Appeal No. 1894 of 1990
334,0.9230769230769231,13,1,State of Uttar Pradesh
335,0.9285714285714286,14,1,Banu Dadiba Boatwalla
336,1.0,17,0,
337,0.9230769230769231,13,1,Tulsidas Kilachand
338,1.0,11,0,
339,1.0,13,0,
340,0.8235294117647058,17,3,Bigamy; Hindu Marriage Act; [1965]2 S.C.R. 837
341,0.9615384615384616,26,1,[1978] 2 SCR 621
342,1.0,9,0,
343,1.0,10,0,
344,0.9333333333333333,15,1,Sridhar Vaidya
345,0.8823529411764706,17,2,Sec.; sec.
346,0.8947368421052632,19,2,"C.D.; March 24, 1964"
347,0.8666666666666667,15,2,sec.; Tribu nal
348,1.0,7,0,
349,1.0,11,0,
350,0.9666666666666667,30,1,[1983] 4 S.C.C. 433
351,0.8888888888888888,27,3,Per Kailasam; Per Sarkaria; Dubey
352,0.75,8,2,s.25G; 1.1
353,0.946236559139785,93,5,"Commodities Act, 1955; [1955] I S.C.R. 380; [1979]1 S.C.R. 121; Anr; Podar"
354,1.0,7,0,
355,0.9166666666666666,12,1,"sections 30(4), 30, 39 and 40"
356,0.967741935483871,31,1,462 Per Sarkar
357,1.0,2,0,
358,1.0,7,0,
359,0.9473684210526316,19,1,Lachhman Dass Udasi (deceased by L. RS.)
360,1.0,14,0,
361,0.8571428571428572,7,1,Rent Control Law
362,0.9166666666666666,12,1,Per Dayal
363,0.8333333333333334,12,2,DAS; MEHR CHAND MAHAJAN
364,0.9743589743589743,39,1,"Sanford H. Kudish vs The Free Press, Collier Mac Millan Publishers"
365,0.9347826086956522,46,3,2.01; 2.05; [1988] Supp.3 SCR 155
366,0.9166666666666666,12,1,C.P.C.
367,1.0,7,0,
368,1.0,21,0,
369,0.9767441860465116,43,1,Removal of Difficulties
370,1.0,10,0,
371,1.0,12,0,
372,1.0,4,0,
373,0.75,4,1,[833E F] 2.1 Rule 59
374,1.0,5,0,
375,1.0,12,0,
376,0.9285714285714286,14,1,Supreme Court
377,0.9285714285714286,14,1,sections 4(1) and 4(2)
378,1.0,11,0,
379,0.7142857142857143,7,2,"April 1, 1971; Rent Control Tribunal"
380,0.9166666666666666,12,1,P.U.C. Exami 369 nation
381,0.8888888888888888,9,1,Eucalyptus
382,0.5454545454545454,11,5,"section 140; C.P.C.; Joharimal V. Bapu Khandu; Lachhman; High Court Reports, 241"
383,1.0,3,0,
384,1.0,11,0,
385,1.0,16,0,
386,1.0,9,0,
387,0.9696969696969697,33,1,Lakhimpur
388,0.9285714285714286,14,1,"State of Bihar vs Gopi Kishore Parsad A.I.R. 1960, 689"
389,1.0,15,0,
390,0.9090909090909091,11,1,1950 Act
391,1.0,5,0,
392,1.0,8,0,
393,0.75,4,1,I.P.C.
394,1.0,9,0,
395,0.9849624060150376,133,2,P.N. Bhagwati; V.R
396,0.9183673469387755,49,4,(I) ; 829; K. Das; Per Bose; Vivian Bose
397,0.8333333333333334,6,1,"September 9, 1974"
398,0.9,10,1,section 18A and 19
399,1.0,9,0,
400,0.75,8,2,"Decem ber 8, 1982; Tariff Act"
401,0.9777777777777777,45,1,Sections 13 and 14
402,1.0,18,0,
403,1.0,24,0,
404,0.875,8,1,Sec.
405,0.8571428571428572,7,1,Supreme Court
406,0.8441558441558441,77,12,"Corporation of Calcutta; M.K. Papiah & Sons; 16th November, 1985; Brii Sundar Kapoor vs First Additional District Judges, [1980] I SCC 651; Edward Mills Co. Ltd. Beawar vs The State of Ajmer; Municipal Corporation of Delhi vs Birla Cotton, Spinning & Weaving Mills, Delhi & Anr; Western India Theatres Ltd. vs Municipal Corporation of the City of Poona, [1959] 2 Supp; Devi Das Gopal Krishan; Sprigg; Excise Commissioner; State Of Bombay; State of Madhya Pradesh"
407,0.9393939393939394,33,2,S.C.C. 600; [1991] Suppl
408,0.9473684210526316,19,1,Supreme Court
409,1.0,2,0,
410,1.0,19,0,
411,1.0,6,0,
412,0.8,5,1,"November 28, 1988"
413,1.0,8,0,
414,0.9696969696969697,33,1,Brend vs Wood
415,1.0,5,0,
416,1.0,4,0,
417,0.9,20,2,S.C.R. 174; Supreme Court
418,0.8666666666666667,15,2,Ss. 8 & 12; [1975] 1 S.C.R. 797
419,1.0,20,0,
420,1.0,14,0,
421,0.9545454545454546,22,1,A.I.R. 1932 Cal
422,1.0,33,0,
423,0.9824561403508771,57,1,Supreme Court
424,1.0,15,0,
425,0.8666666666666667,15,2,Act of 1947; Cardozo
426,1.0,7,0,
427,1.0,17,0,
428,1.0,5,0,
429,N/A,0,0,
430,0.8214285714285714,28,5,Rupkanwar; [1959] Supp. 1 S.C.R. 979; Ram Krishan; [1931] 58 I.A. 220; . 854
431,1.0,13,0,
432,1.0,7,0,
433,1.0,22,0,
434,1.0,19,0,
435,0.9473684210526316,19,1,Hyderabad
436,0.875,16,2,1.4.1981; 31.3.1986
437,1.0,16,0,
438,0.9393939393939394,33,2,L. R. Cal; Per Sarkar
439,0.9545454545454546,22,1,article 226
440,0.9365079365079365,63,4,"U.T., Himachal Pradesh; Central Sales Tax Act; Kailash Nath; Narinder Chand Hem Raj"
441,0.9285714285714286,14,1,Food Adulteration Act
442,0.4545454545454546,22,12,Part III; Section 441(1); Section 441(2); s 441(1); section 137(2); section 436; section 436(2); section 437 (2); section 441 ( 1 ); section 441(2) and (3); section `389(1); Free India
443,1.0,12,0,
444,1.0,19,0,
445,1.0,14,0,
446,1.0,12,0,
447,0.9705882352941176,34,1,U.P.S.C.
448,0.96,25,1,Per Ray
449,0.9411764705882353,17,1,"Harvinder kaur vs Harmander Singh Choudhry, A.I.R. 1984 Delhi"
450,1.0,15,0,
451,1.0,5,0,
452,1.0,6,0,
453,0.8235294117647058,17,3,Sec.; s.124(1)IPC; Supreme Court
454,1.0,7,0,
455,0.875,8,1,Supreme Court
456,1.0,11,0,
457,1.0,14,0,
458,1.0,6,0,
459,0.9666666666666667,30,1,[419A B] 406 S.2
460,1.0,26,0,
461,0.9473684210526316,19,1,Lex Loci Contractus
462,0.8888888888888888,18,2,"Brij Mohan vs Sat Pal, C.A. No. 2650/84; 13.3.85"
463,1.0,4,0,
464,1.0,30,0,
465,1.0,6,0,
466,1.0,2,0,
467,1.0,9,0,
468,1.0,3,0,
469,0.6363636363636364,11,4,17.6.1976; 18.1.1969; 21.11.1968; Central Office
470,0.9523809523809523,21,1,[364E] 358 (4)
471,1.0,9,0,
472,0.9166666666666666,12,1,C.I.T.v
473,0.8571428571428572,7,1,High Court question 867
474,0.8,10,2,Constitution; PP
475,1.0,8,0,
476,1.0,3,0,
477,1.0,4,0,
478,0.6666666666666667,3,1,Supreme Court
479,0.9,20,2,article 31(2).[796 C D]; B. Shankara Rao Badami
480,0.92,25,2,1922 Act; 1961 Act
481,1.0,9,0,
482,0.9468085106382979,94,5,1910 Act; Central; Bhagwati; Goswami; Sarkaria
483,1.0,5,0,
484,1.0,10,0,
485,0.9,10,1,Shivji Nathubhai
486,1.0,16,0,
487,0.8181818181818181,11,2,Keolapati; B.N. Varma
488,1.0,18,0,
489,0.9090909090909091,11,1,"March 16, 1976"
490,1.0,5,0,
491,1.0,2,0,
492,1.0,9,0,
493,N/A,0,0,
494,1.0,19,0,
495,0.8,5,1,",[1971] 2 S.C.R. 564"
496,1.0,3,0,
497,0.8571428571428572,14,2,sections 256 and 257; Supreme Court
498,0.9090909090909091,11,1,Union of India
499,0.8947368421052632,19,2,notifi cation No. 417 of 15.1.1919; O. Singla
500,0.9583333333333334,24,1,"December 20, 1968"
501,0.9530201342281879,149,7,"Tharao; July 30, 1963; Abdullah; Clark V. Allen; Shree V. P. Menon; dra Singh; Mahboob Begum"
502,1.0,6,0,
503,1.0,23,0,
504,0.9534883720930233,43,2,"F.I.R. 387; King Emperor vs Khwaja Nazir Ahmed, 71 I.A., 203"
505,0.8,5,1,Supreme Court
506,1.0,9,0,
507,0.9090909090909091,11,1,sec.
508,0.9583333333333334,24,1,1940 Act
509,1.0,12,0,
510,1.0,18,0,
511,1.0,12,0,
512,1.0,18,0,
513,1.0,11,0,
514,1.0,17,0,
515,1.0,26,0,
516,0.9333333333333333,15,1,proviso to 159
517,0.9545454545454546,22,1,Matsya
518,0.8571428571428572,7,1,Supreme Court
519,0.9166666666666666,36,3,section [217G] (c); Sohan Bibi; I
520,1.0,9,0,
521,0.875,24,3,"Ministry of Law & Justice; Ministry of Law & Justice, Government of India; Art.14"
522,0.8235294117647058,17,3,F; 58 458; Supreme Court
523,0.7777777777777778,18,4,"Dec. 30 was a; Jan. 2.; Dist, Magistrate, 9 97; [1974] 4 S.C.C."
524,0.8918918918918919,37,4,"Inequalities 624; Halbury; Union of India; 21 27, 12 20 December, 1974"
525,0.9,30,3,First Schedule; L.R 428; articles 117 and 118
526,0.9090909090909091,11,1,PG NO 370 PG NO 371 [2]
527,1.0,7,0,
528,1.0,13,0,
529,0.8571428571428572,7,1,Supreme Court
530,1.0,15,0,
531,1.0,12,0,
532,1.0,14,0,
533,1.0,4,0,
534,0.9583333333333334,24,1,(1896) 2 Q.B.D. 143
535,0.9722222222222222,36,1,Bolani
536,1.0,12,0,
537,1.0,6,0,
538,1.0,13,0,
539,0.8666666666666667,15,2,Government of Madhya Pradesh; 8.10
540,0.9473684210526316,19,1,item 4
541,0.9523809523809523,21,1,Shebait
542,0.9722222222222222,36,1,518 B; 519 B C] (iv) Sections 6 and 7
543,1.0,20,0,
544,1.0,4,0,
545,0.9375,16,1,"June 26, 953"
546,0.9545454545454546,22,1,1025 High Court
547,0.7272727272727273,11,3,Nagaji; Nagji; 456 High Court
548,0.9473684210526316,76,4,L/P(N) 7SCI (3)(a) 662; Chatturam; C.I.T. Bihar; State of Orissa
549,0.875,8,1,Legislative Assembly of Andhra Pradesh
550,0.7142857142857143,14,4,"1.02; 1.05; 1.5.1972; Roop Chand Adlakha & Om vs Delhi Development Authority & Ors., [1989] Supp I SCC 116"
551,1.0,4,0,
552,0.8333333333333334,6,1,Industrial 318 Disputes Act 1947
553,0.8571428571428572,7,1,Bihar
554,0.7931034482758621,29,6,Clause 15; clause 13; clause 14; clause 17; clause 19; VENKATARAMA AYYAR
555,0.75,4,1,Supreme Court
556,0.9375,16,1,Helsby
557,0.9230769230769231,13,1,M.C.D.
558,1.0,8,0,
559,0.8888888888888888,27,3,S.3(2); Breen vs Amalgamated Engineering Union; Duke of Norfolk [1949] ALL ER109
560,0.88,50,6,Entry 22; Entry 23; Entry 24; State of Gujarat; Ahmedabad; State of Gujarat
561,0.875,8,1,Sections 378 and 386
562,1.0,11,0,
563,1.0,7,0,
564,0.9333333333333333,15,1,1.2.1969
565,0.9811320754716981,53,1,A.K. Kraipak
566,0.967741935483871,31,1,Madras
567,1.0,15,0,
568,0.8518518518518519,27,4,"21st July 1974; Mazdoors; Sec. 31 (2); Fundamental and Supplementary Rules, Civil Services (Classification, Control and appeal) Rules"
569,0.9090909090909091,11,1,C. India/64 522
570,1.0,4,0,
571,1.0,31,0,
572,1.0,5,0,
573,0.8888888888888888,9,1,"Ivy Fonseca and Ors., [1983] (2) S.C SCALE 900"
574,0.9545454545454546,22,1,7.8.72
575,1.0,4,0,
576,1.0,14,0,
577,1.0,6,0,
578,1.0,22,0,
579,1.0,13,0,
580,0.9523809523809523,21,1,[561G] 557
581,0.9375,16,1,"sub clauses (a), (b) and (c)"
582,1.0,5,0,
583,1.0,20,0,
584,0.9230769230769231,13,1,"Pushkar Mukherjee & Ors, vs The State of West Bengal"
585,1.0,14,0,
586,0.6666666666666667,3,1,Section 5 (2)
587,0.75,4,1,s .
588,1.0,26,0,
589,1.0,20,0,
590,0.8571428571428572,7,1,Railways 771
591,1.0,22,0,
592,0.75,8,2,S.L.P.; Yadav Engineer
593,1.0,6,0,
594,1.0,20,0,
595,0.98,50,1,Kerala
596,1.0,10,0,
597,0.96,25,1,Wenger
598,0.9333333333333333,15,1,Ahmedabad
599,0.8571428571428572,14,2,"R. vs Secretary of State for the Home Department ex parte Mughal [1973] All England Law Reports, 796; [1975]3 SCR 1002"
600,1.0,13,0,
601,0.96,25,1,Per Kapur
602,0.7692307692307692,13,3,Sagna; Hira Singh; Kali Ram
603,0.9230769230769231,13,1,201 D 202 C] (iii)The
604,0.9,10,1,CI/66 5 778
605,0.8095238095238095,21,4,K. Yadava Reddy; Tarapada De; West Bengal; I.L.R. 1972 Andhra Pradesh 1025
606,N/A,0,0,
607,0.9,10,1,20.1.1979
608,0.9230769230769231,13,1,N
609,0.8333333333333334,6,1,"State of West Bengal vs Anwar Ali, [19521 SCR 284"
610,0.9666666666666667,30,1,"Bhikraj vs Union of India, A. I. R. , Thomas vs Kelly, 888)"
611,0.33333333333333337,3,2,C. P.; Indus trial Court
612,1.0,20,0,
613,0.8103448275862069,58,11,1.01; 1.03; 1.04; 1.05; 1.06; 1.07; 2.01; 2.05; 2.09; 2.12; (1965) page 129
614,0.9183673469387755,49,4,"Wealth Tax Act, 1957; H.H. Maharajadhiraja Madhav Rao; Webster; Supreme Court"
615,0.9803921568627451,51,1,Raghukul Tilak
